date,Close
20080122  08:00:00,128.57
20080122  08:30:00,130.12
20080122  09:00:00,130.6
20080122  09:30:00,130.76
20080122  10:00:00,130.04
20080122  10:30:00,130.53
20080122  11:00:00,131.45
20080122  11:30:00,130.86
20080122  12:00:00,130.58
20080122  12:30:00,130.61
20080122  13:00:00,130.78
20080122  13:30:00,131.26
20080123  08:00:00,129.63
20080123  08:30:00,130.11
20080123  09:00:00,129.53
20080123  09:30:00,129.03
20080123  10:00:00,128.46
20080123  10:30:00,128.72
20080123  11:00:00,127.79
20080123  11:30:00,128.18
20080123  12:00:00,129.03
20080123  12:30:00,130.46
20080123  13:00:00,130.3
20080123  13:30:00,132.88
20080124  08:00:00,134.88
20080124  08:30:00,133.87
20080124  09:00:00,133.84
20080124  09:30:00,134.65
20080124  10:00:00,134.44
20080124  10:30:00,134.2
20080124  11:00:00,134.33
20080124  11:30:00,133.83
20080124  12:00:00,134.57
20080124  12:30:00,135.06
20080124  13:00:00,134.24
20080124  13:30:00,134.59
20080125  08:00:00,135.94
20080125  08:00:00,135.94
20080125  08:00:00,135.94
20080125  08:30:00,135.54
20080125  08:30:00,135.54
20080125  08:30:00,135.54
20080125  09:00:00,134.74
20080125  09:00:00,134.74
20080125  09:00:00,134.74
20080125  09:30:00,134.89
20080125  09:30:00,134.89
20080125  09:30:00,134.89
20080125  10:00:00,135.21
20080125  10:00:00,135.21
20080125  10:00:00,135.21
20080125  10:30:00,134.86
20080125  10:30:00,134.86
20080125  10:30:00,134.86
20080125  11:00:00,134.04
20080125  11:00:00,134.04
20080125  11:00:00,134.04
20080125  11:30:00,133.81
20080125  11:30:00,133.81
20080125  11:30:00,133.81
20080125  12:00:00,133.04
20080125  12:00:00,133.04
20080125  12:00:00,133.04
20080125  12:30:00,133.35
20080125  12:30:00,133.35
20080125  12:30:00,133.35
20080125  13:00:00,133.08
20080125  13:00:00,133.08
20080125  13:00:00,133.08
20080125  13:30:00,133.55
20080125  13:30:00,133.55
20080125  13:30:00,133.55
20080128  08:00:00,132.39
20080128  08:30:00,133.42
20080128  09:00:00,133.76
20080128  09:30:00,133.94
20080128  10:00:00,133.84
20080128  10:30:00,133.73
20080128  11:00:00,133.99
20080128  11:30:00,134.3
20080128  12:00:00,134.27
20080128  12:30:00,134.57
20080128  13:00:00,134.2
20080128  13:30:00,134.31
20080129  08:00:00,135.27
20080129  08:30:00,135.88
20080129  09:00:00,135.89
20080129  09:30:00,136.04
20080129  10:00:00,136.01
20080129  10:30:00,135.5
20080129  11:00:00,135.53
20080129  11:30:00,135.68
20080129  12:00:00,135.61
20080129  12:30:00,135.75
20080129  13:00:00,135.85
20080129  13:30:00,136.1
20080130  08:00:00,135.91
20080130  08:30:00,135.92
20080130  09:00:00,136.05
20080130  09:30:00,135.6
20080130  10:00:00,135.62
20080130  10:30:00,135.72
20080130  11:00:00,135.73
20080130  11:30:00,135.86
20080130  12:00:00,135.63
20080130  12:30:00,137.2
20080130  13:00:00,138.12
20080130  13:30:00,137.24
20080131  08:00:00,134.4
20080131  08:30:00,134.77
20080131  09:00:00,135.2
20080131  09:30:00,135.98
20080131  10:00:00,136.71
20080131  10:30:00,136.51
20080131  11:00:00,136.12
20080131  11:30:00,136.35
20080131  12:00:00,136.64
20080131  12:30:00,136.98
20080131  13:00:00,137.53
20080131  13:30:00,138.06
20080201  08:00:00,138.95
20080201  08:00:00,138.95
20080201  08:00:00,138.95
20080201  08:30:00,138.42
20080201  08:30:00,138.42
20080201  08:30:00,138.42
20080201  09:00:00,137.8
20080201  09:00:00,137.8
20080201  09:00:00,137.8
20080201  09:30:00,138.17
20080201  09:30:00,138.17
20080201  09:30:00,138.17
20080201  10:00:00,138.52
20080201  10:00:00,138.52
20080201  10:00:00,138.52
20080201  10:30:00,138.2
20080201  10:30:00,138.2
20080201  10:30:00,138.2
20080201  11:00:00,138.08
20080201  11:00:00,138.08
20080201  11:00:00,138.08
20080201  11:30:00,138.51
20080201  11:30:00,138.51
20080201  11:30:00,138.51
20080201  12:00:00,138.35
20080201  12:00:00,138.35
20080201  12:00:00,138.35
20080201  12:30:00,138.95
20080201  12:30:00,138.95
20080201  12:30:00,138.95
20080201  13:00:00,139.1
20080201  13:00:00,139.1
20080201  13:00:00,139.1
20080201  13:30:00,139.27
20080201  13:30:00,139.27
20080201  13:30:00,139.27
20080204  08:00:00,138.68
20080204  08:30:00,138.38
20080204  09:00:00,138.64
20080204  09:30:00,138.85
20080204  10:00:00,138.6
20080204  10:30:00,138.34
20080204  11:00:00,138.54
20080204  11:30:00,138.26
20080204  12:00:00,138.42
20080204  12:30:00,138.29
20080204  13:00:00,138.24
20080204  13:30:00,138.35
20080205  08:00:00,135.86
20080205  08:30:00,136.19
20080205  09:00:00,135.4
20080205  09:30:00,135.16
20080205  10:00:00,135.58
20080205  10:30:00,135.14
20080205  11:00:00,135.16
20080205  11:30:00,134.87
20080205  12:00:00,134.42
20080205  12:30:00,134.69
20080205  13:00:00,134.41
20080205  13:30:00,134.27
20080206  08:00:00,134.08
20080206  08:30:00,134.3
20080206  09:00:00,134.66
20080206  09:30:00,135.06
20080206  10:00:00,134.98
20080206  10:30:00,134.59
20080206  11:00:00,134.4
20080206  11:30:00,134.42
20080206  12:00:00,133.74
20080206  12:30:00,133.34
20080206  13:00:00,133.8
20080206  13:30:00,133.28
20080207  08:00:00,132.1
20080207  08:30:00,133.12
20080207  09:00:00,133.05
20080207  09:30:00,132.62
20080207  10:00:00,132.82
20080207  10:30:00,133.09
20080207  11:00:00,133.6
20080207  11:30:00,133.68
20080207  12:00:00,134.54
20080207  12:30:00,133.73
20080207  13:00:00,133.09
20080207  13:30:00,133.52
20080208  08:00:00,133.67
20080208  08:00:00,133.67
20080208  08:00:00,133.67
20080208  08:30:00,133.65
20080208  08:30:00,133.65
20080208  08:30:00,133.65
20080208  09:00:00,133.76
20080208  09:00:00,133.76
20080208  09:00:00,133.76
20080208  09:30:00,133.66
20080208  09:30:00,133.66
20080208  09:30:00,133.66
20080208  10:00:00,133.12
20080208  10:00:00,133.12
20080208  10:00:00,133.12
20080208  10:30:00,133.29
20080208  10:30:00,133.29
20080208  10:30:00,133.29
20080208  11:00:00,133.24
20080208  11:00:00,133.24
20080208  11:00:00,133.24
20080208  11:30:00,132.79
20080208  11:30:00,132.79
20080208  11:30:00,132.79
20080208  12:00:00,132.73
20080208  12:00:00,132.73
20080208  12:00:00,132.73
20080208  12:30:00,133.05
20080208  12:30:00,133.05
20080208  12:30:00,133.05
20080208  13:00:00,132.68
20080208  13:00:00,132.68
20080208  13:00:00,132.68
20080208  13:30:00,132.97
20080208  13:30:00,132.97
20080208  13:30:00,132.97
20080211  08:00:00,132.69
20080211  08:30:00,132.41
20080211  09:00:00,132.79
20080211  09:30:00,132.84
20080211  10:00:00,132.91
20080211  10:30:00,133.03
20080211  11:00:00,134.05
20080211  11:30:00,134.15
20080211  12:00:00,133.88
20080211  12:30:00,133.64
20080211  13:00:00,133.73
20080211  13:30:00,133.95
20080212  08:00:00,135.22
20080212  08:30:00,135.71
20080212  09:00:00,136.15
20080212  09:30:00,136.1
20080212  10:00:00,135.85
20080212  10:30:00,135.36
20080212  11:00:00,135.49
20080212  11:30:00,135.78
20080212  12:00:00,135.82
20080212  12:30:00,135.42
20080212  13:00:00,135.71
20080212  13:30:00,134.7
20080213  08:00:00,135.9
20080213  08:30:00,135.4
20080213  09:00:00,135.5
20080213  09:30:00,135.91
20080213  10:00:00,135.75
20080213  10:30:00,135.89
20080213  11:00:00,135.96
20080213  11:30:00,136.4
20080213  12:00:00,136.44
20080213  12:30:00,136.23
20080213  13:00:00,136.61
20080213  13:30:00,136.65
20080214  08:00:00,136.7
20080214  08:30:00,136.76
20080214  09:00:00,136.26
20080214  09:30:00,135.81
20080214  10:00:00,135.65
20080214  10:30:00,136.03
20080214  11:00:00,135.63
20080214  11:30:00,135.49
20080214  12:00:00,135.64
20080214  12:30:00,135.53
20080214  13:00:00,135.26
20080214  13:30:00,135.72
20080215  08:00:00,134.08
20080215  08:00:00,134.08
20080215  08:00:00,134.08
20080215  08:00:00,134.08
20080215  08:30:00,134.89
20080215  08:30:00,134.89
20080215  08:30:00,134.89
20080215  08:30:00,134.89
20080215  09:00:00,134.48
